site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
horse_head_ephemeral,usa,louisiana,acris_blanchardi,adult,1,fall,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
sink,usa,tennessee,ambystoma_opacum,adult,1,fall,1,25,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
horse_head_permanent,usa,louisiana,anaxyrus_fowleri,adult,1,fall,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
kisatchie_bayou,usa,louisiana,anaxyrus_fowleri,adult,1,fall,1,17,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
kurthwood,usa,louisiana,eurycea_quadridigitata,adult,1,fall,1,20,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serdp
bananal_f2,brazil,santa_virginia,haddadus_binotatus,adult,1,dry,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil
japi_f5,brazil,santa_virginia,haddadus_binotatus,adult,1,dry,1,11,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil
cotia_f1,brazil,santa_virginia,ischnocnema_henselii,adult,1,dry,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil
intervales_f4,brazil,santa_virginia,ischnocnema_henselii,adult,1,dry,1,12,6,6,554.211167742809,1817270.57582964,1108.42233548562,3260835.22254316,2.66338549068604,0.350982297600547,554.333333333333,1817440.78787879,553.833333333333,1816836.33333333,0.0923866318315516,564.664344569728,120.33446708897,554.333333333333,20000.0465412882,,,,,,,,,,,,,,,,,,,,0.641039090008958,0.110908528723834,0.22243779268779,0.211959158197759,1.62914281803465,brazil
japi_f1,brazil,santa_virginia,ischnocnema_henselii,adult,1,dry,1,10,1,1,23.0561745166779,5315.87183343507,230.561745166779,,2.36278725074192,,23.1,5336.1,23,5290,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,brazil
