site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset,prev,phase,site_id
50183,Southern Sierra,california,ramu,adult,1,summer,1,19,2,2,416.842105263158,1829389.47368421,3960,4867200,3.5610751597204,0.0654235136749854,416.842105263158,1829389.47368421,416.842105263158,1829389.47368421,,,,,,,,,,,,,,,,,,,,,,,,,0.196969696969697,0.0253945662330526,0.0718266799547298,-0.25405558973906,0.557114433662128,sierra_nevada,0.105263157894737,"invasion
(Southern Sierra)",50183
72996,Northern Sierra,california,ramu,adult,1,summer,1,19,16,16,38723.3684210526,6470502359.57895,45984,7408471756.8,4.09818600239168,0.632781101073194,38723.3684210526,6470502359.57895,38723.3684210526,6470502359.57895,0.214209615444531,38731.4976817072,394.403254010704,38723.3684210526,1733613.92502793,374.526194378711,0.304448323546587,6.62074468394631e-06,369.705867233283,9.43642199742393,1.77348727550228,370.564259004484,0.614016079417579,29776.097309483,377.55356124412,2.17466945024356e-05,0.869818209655283,0.971996333036379,0,0.99999997881037,0.6934,0.127306321922994,0.643379571080251,0.265562541277028,0.712250456680585,0.103632415187407,0.194104267757594,0.27225756832906,1.87179192048311,sierra_nevada,0.842105263157895,"enzootic
(Northern Sierra)",72996
50183,Southern Sierra,california,ramu,subadult,1,summer,1,21,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",50183
72996,Northern Sierra,california,ramu,subadult,1,summer,1,14,12,12,218389.714285714,444919958670.066,254788,515697573242.182,4.10232245080868,1.32357324091683,218389.714285714,444919958670.066,218389.714285714,444919958670.066,0.147690674920383,217993.188018067,304.366192821549,218389.714285714,12040500.1885534,296.533524386876,0.13732557074108,5.38979742927769e-07,287.093904443855,9.44594652188686,2.53626949008552,290.085457652149,0.377893199015717,49212.4049438218,324.756490539433,3.9248316247233e-06,0.895051451575314,0.968551487245657,3.33066907387547e-16,0.999999926984716,0.2298,0.193921508381136,0.687965372577969,0.247630423836329,0.8653638842227,0.14910491131484,0.280442735950096,0.450018574106879,2.81850347174432,sierra_nevada,0.857142857142857,"enzootic
(Northern Sierra)",72996
10090,Southern Sierra,california,ramu,adult,2,summer,2,19,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10090
10102,Southern Sierra,california,ramu,adult,2,summer,2,16,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10102
10201,Southern Sierra,california,ramu,adult,2,summer,2,20,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10201
10206,Southern Sierra,california,ramu,adult,2,summer,2,16,9,9,930,1299724.8,1653.33333333333,1091584,3.09788162206445,0.169228198410505,930,1299724.8,930,1299724.8,0.118997036631786,930.054847210598,192.338396117662,930,22915.5612329708,,,,,,,,,,,,,,,,,,,,0.324731182795699,0.0631975831192724,0.132791888497935,-0.199331841105352,0.631928814863788,sierra_nevada,0.5625,"post-invasion
(Southern Sierra)",10206
10220,Southern Sierra,california,ramu,adult,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10220
10222,Southern Sierra,california,ramu,adult,2,summer,2,36,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10222
